# composition,0.64NaCl-0.36UCl3
# source,Andersson, 2022
# temperature_K,1250
# raw_file,0.64NaCl-0.36UCl3_Andersson_2022_1250.0_AP.csv
# savgol,True
# grid_points,2000
r (A),Cl-Cl,Na-Cl,Na-Na,Na-U,U-Cl,U-U
0.8582408967923962,0.0,0.0,0.0,0.0,0.0,0.0
0.861701545569785,0.0,0.0,0.0,0.0,0.0,0.0
0.8651621943471736,0.0,0.0,0.0,0.0,0.0,0.0
0.8686228431245623,0.0,0.0,0.0,0.0,0.0,0.0
0.872083491901951,0.0,0.0,0.0,0.0,0.0,0.0
0.8755441406793397,0.0,0.0,0.0,0.0,0.0,0.0
0.8790047894567283,0.0,0.0,0.0,0.0,0.0,0.0
0.882465438234117,0.0,0.0,0.0,0.0,0.0,0.0
0.8859260870115058,0.0,0.0,0.0,0.0,0.0,0.0
0.8893867357888945,0.0,0.0,0.0,0.0,0.0,0.0
0.8928473845662832,0.0,0.0,0.0,0.0,0.0,0.0
0.8963080333436718,0.0,0.0,0.0,0.0,0.0,0.0
0.8997686821210605,0.0,0.0,0.0,0.0,0.0,0.0
0.9032293308984493,0.0,0.0,0.0,0.0,0.0,0.0
0.906689979675838,0.0,0.0,0.0,0.0,0.0,0.0
0.9101506284532266,0.0,0.0,0.0,0.0,0.0,0.0
0.9136112772306153,0.0,0.0,0.0,0.0,0.0,0.0
0.917071926008004,0.0,0.0,0.0,0.0,0.0,0.0
0.9205325747853927,0.0,0.0,0.0,0.0,0.0,0.0
0.9239932235627815,0.0,0.0,0.0,0.0,0.0,0.0
0.9274538723401701,0.0,0.0,0.0,0.0,0.0,0.0
0.9309145211175588,0.0,0.0,0.0,0.0,0.0,0.0
0.9343751698949475,0.0,0.0,0.0,0.0,0.0,0.0
0.9378358186723362,0.0,0.0,0.0,0.0,0.0,0.0
0.9412964674497248,0.0,0.0,0.0,0.0,0.0,0.0
0.9447571162271136,0.0,0.0,0.0,0.0,0.0,0.0
0.9482177650045023,0.0,0.0,0.0,0.0,0.0,0.0
0.951678413781891,0.0,0.0,0.0,0.0,0.0,0.0
0.9551390625592796,0.0,0.0,0.0,0.0,0.0,0.0
0.9585997113366683,0.0,0.0,0.0,0.0,0.0,0.0
0.962060360114057,0.0,0.0,0.0,0.0,0.0,0.0
0.9655210088914458,0.0,0.0,0.0,0.0,0.0,0.0
0.9689816576688345,0.0,0.0,0.0,0.0,0.0,0.0
0.9724423064462231,0.0,0.0,0.0,0.0,0.0,0.0
0.9759029552236118,0.0,0.0,0.0,0.0,0.0,0.0
0.9793636040010005,0.0,0.0,0.0,0.0,0.0,0.0
0.9828242527783893,0.0,0.0,0.0,0.0,0.0,0.0
0.9862849015557779,0.0,0.0,0.0,0.0,0.0,0.0
0.9897455503331666,0.0,0.0,0.0,0.0,0.0,0.0
0.9932061991105553,0.0,0.0,0.0,0.0,0.0,0.0
0.996666847887944,0.0,0.0,0.0,0.0,0.0,0.0
1.0001274966653326,0.0,0.0,0.0,0.0,0.0,0.0
1.0035881454427213,0.0,0.0,0.0,0.0,0.0,0.0
1.00704879422011,0.0,0.0,0.0,0.0,0.0,0.0
1.0105094429974988,0.0,0.0,0.0,0.0,0.0,0.0
1.0139700917748875,0.0,0.0,0.0,0.0,0.0,0.0
1.0174307405522762,0.0,0.0,0.0,0.0,0.0,0.0
1.020891389329665,0.0,0.0,0.0,0.0,0.0,0.0
1.0243520381070534,0.0,0.0,0.0,0.0,0.0,0.0
1.0278126868844422,0.0,0.0,0.0,0.0,0.0,0.0
1.0312733356618309,0.0,0.0,0.0,0.0,0.0,0.0
1.0347339844392196,0.0,0.0,0.0,0.0,0.0,0.0
1.0381946332166083,0.0,0.0,0.0,0.0,0.0,0.0
1.041655281993997,0.0,0.0,0.0,0.0,0.0,0.0
1.0451159307713858,0.0,0.0,0.0,0.0,0.0,0.0
1.0485765795487745,0.0,0.0,0.0,0.0,0.0,0.0
1.0520372283261632,0.0,0.0,0.0,0.0,0.0,0.0
1.0554978771035517,0.0,0.0,0.0,0.0,0.0,0.0
1.0589585258809404,0.0,0.0,0.0,0.0,0.0,0.0
1.0624191746583291,0.0,0.0,0.0,0.0,0.0,0.0
1.0658798234357179,0.0,0.0,0.0,0.0,0.0,0.0
1.0693404722131066,0.0,0.0,0.0,0.0,0.0,0.0
1.0728011209904953,0.0,0.0,0.0,0.0,0.0,0.0
1.076261769767884,0.0,0.0,0.0,0.0,0.0,0.0
1.0797224185452727,0.0,0.0,0.0,0.0,0.0,0.0
1.0831830673226615,0.0,0.0,0.0,0.0,0.0,0.0
1.08664371610005,0.0,0.0,0.0,0.0,0.0,0.0
1.0901043648774387,0.0,0.0,0.0,0.0,0.0,0.0
1.0935650136548274,0.0,0.0,0.0,0.0,0.0,0.0
1.097025662432216,0.0,0.0,0.0,0.0,0.0,0.0
1.1004863112096048,0.0,0.0,0.0,0.0,0.0,0.0
1.1039469599869935,0.0,0.0,0.0,0.0,0.0,0.0
1.1074076087643823,0.0,0.0,0.0,0.0,0.0,0.0
1.110868257541771,0.0,0.0,0.0,0.0,0.0,0.0
1.1143289063191597,0.0,0.0,0.0,0.0,0.0,0.0
1.1177895550965482,0.0,0.0,0.0,0.0,0.0,0.0
1.121250203873937,0.0,0.0,0.0,0.0,0.0,0.0
1.1247108526513256,0.0,0.0,0.0,0.0,0.0,0.0
1.1281715014287144,0.0,0.0,0.0,0.0,0.0,0.0
1.131632150206103,0.0,0.0,0.0,0.0,0.0,0.0
1.1350927989834918,0.0,0.0,0.0,0.0,0.0,0.0
1.1385534477608805,0.0,0.0,0.0,0.0,0.0,0.0
1.1420140965382692,0.0,0.0,0.0,0.0,0.0,0.0
1.145474745315658,0.0,0.0,0.0,0.0,0.0,0.0
1.1489353940930465,0.0,0.0,0.0,0.0,0.0,0.0
1.1523960428704352,0.0,0.0,0.0,0.0,0.0,0.0
1.155856691647824,0.0,0.0,0.0,0.0,0.0,0.0
1.1593173404252126,0.0,0.0,0.0,0.0,0.0,0.0
1.1627779892026013,0.0,0.0,0.0,0.0,0.0,0.0
1.16623863797999,0.0,0.0,0.0,0.0,0.0,0.0
1.1696992867573788,0.0,0.0,0.0,0.0,0.0,0.0
1.1731599355347675,0.0,0.0,0.0,0.0,0.0,0.0
1.176620584312156,0.0,0.0,0.0,0.0,0.0,0.0
1.1800812330895447,0.0,0.0,0.0,0.0,0.0,0.0
