# composition,1.0KF
# source,Walz, 2019
# temperature_K,1131
# raw_file,KF_Walz_2019_1131.0_PIM.csv
# savgol,True
# grid_points,2000
r (A),F-F,K-F,K-K
0.8942441086283316,0.0,0.0,0.0
0.901696142866901,0.0,0.0,0.0
0.9091481771054704,0.0,0.0,0.0
0.9166002113440398,0.0,0.0,0.0
0.9240522455826092,0.0,0.0,0.0
0.9315042798211787,0.0,0.0,0.0
0.9389563140597481,0.0,0.0,0.0
0.9464083482983175,0.0,0.0,0.0
0.953860382536887,0.0,0.0,0.0
0.9613124167754564,0.0,0.0,0.0
0.9687644510140259,0.0,0.0,0.0
0.9762164852525953,0.0,0.0,0.0
0.9836685194911647,0.0,0.0,0.0
0.9911205537297342,0.0,0.0,0.0
0.9985725879683036,0.0,0.0,0.0
1.006024622206873,0.0,0.0,0.0
1.0134766564454425,0.0,0.0,0.0
1.0209286906840118,0.0,0.0,0.0
1.0283807249225814,0.0,0.0,0.0
1.0358327591611507,0.0,0.0,0.0
1.0432847933997202,0.0,0.0,0.0
1.0507368276382896,0.0,0.0,0.0
1.058188861876859,0.0,0.0,0.0
1.0656408961154284,0.0,0.0,0.0
1.0730929303539978,0.0,0.0,0.0
1.0805449645925673,0.0,0.0,0.0
1.0879969988311367,0.0,0.0,0.0
1.0954490330697062,0.0,0.0,0.0
1.1029010673082755,0.0,0.0,0.0
1.110353101546845,0.0,0.0,0.0
1.1178051357854144,0.0,0.0,0.0
1.125257170023984,0.0,0.0,0.0
1.1327092042625533,0.0,0.0,0.0
1.1401612385011228,0.0,0.0,0.0
1.1476132727396922,0.0,0.0,0.0
1.1550653069782615,0.0,0.0,0.0
1.162517341216831,0.0,0.0,0.0
1.1699693754554004,0.0,0.0,0.0
1.17742140969397,0.0,0.0,0.0
1.1848734439325392,0.0,0.0,0.0
1.1923254781711088,0.0,0.0,0.0
1.1997775124096781,0.0,0.0,0.0
1.2072295466482477,0.0,0.0,0.0
1.214681580886817,0.0,0.0,0.0
1.2221336151253865,0.0,0.0,0.0
1.2295856493639559,0.0,0.0,0.0
1.2370376836025254,0.0,0.0,0.0
1.2444897178410947,0.0,0.0,0.0
1.251941752079664,0.0,0.0,0.0
1.2593937863182336,0.0,0.0,0.0
1.266845820556803,0.0,0.0,0.0
1.2742978547953725,0.0,0.0,0.0
1.2817498890339418,0.0,0.0,0.0
1.2892019232725114,0.0,0.0,0.0
1.2966539575110807,0.0,0.0,0.0
1.3041059917496503,0.0,0.0,0.0
1.3115580259882196,0.0,0.0,0.0
1.3190100602267891,0.0,0.0,0.0
1.3264620944653585,0.0,0.0,0.0
1.333914128703928,0.0,0.0,0.0
1.3413661629424973,0.0,0.0,0.0
1.3488181971810667,0.0,0.0,0.0
1.3562702314196362,0.0,0.0,0.0
1.3637222656582055,0.0,0.0,0.0
1.371174299896775,0.0,0.0,0.0
1.3786263341353444,0.0,0.0,0.0
1.386078368373914,0.0,0.0,0.0
1.3935304026124833,0.0,0.0,0.0
1.4009824368510528,0.0,0.0,0.0
1.4084344710896222,0.0,0.0,0.0
1.4158865053281917,0.0,0.0,0.0
1.423338539566761,0.0,0.0,0.0
1.4307905738053304,0.0,0.0,0.0
1.4382426080439,0.0,0.0,0.0
1.4456946422824692,0.0,0.0,0.0
1.4531466765210388,0.0,0.0,0.0
1.4605987107596081,0.0,0.0,0.0
1.4680507449981777,0.0,0.0,0.0
1.475502779236747,0.0,0.0,0.0
1.4829548134753165,0.0,0.0,0.0
1.4904068477138859,0.0,0.0,0.0
1.4978588819524554,0.0,0.0,0.0
1.5053109161910248,0.0,0.0,0.0
1.5127629504295943,0.0,0.0,0.0
1.5202149846681636,0.0,0.0,0.0
1.527667018906733,0.0,0.0,0.0
1.5351190531453025,0.0,0.0,0.0
1.5425710873838718,0.0,0.0,0.0
1.5500231216224414,0.0,0.0,0.0
1.5574751558610107,0.0,0.0,0.0
