# composition,0.66LiF-0.34BeF2
# source,Fayfar, 2024
# temperature_K,973
# raw_file,0.66LiF-0.34BeF2_Fayfar_2024_973.0_AP.csv
# savgol,True
# grid_points,2000
r (A),Be-Be,Be-F,Be-Li,F-F,Li-F,Li-Li
1.721001759913957,0.0,3.1806836974963546,0.0,0.0,2.202156725979338,5.119651919860716e-06
1.72597575343972,0.0,3.041444283672429,0.0,0.0,2.2709139877283104,1.6203754960091568e-05
1.7309497469654826,0.0,2.900945679306633,0.0,0.0,2.3695093124652615,2.7287858000321922e-05
1.7359237404912455,0.0,2.760372738471948,0.0,0.0,2.474839448580782,3.837196104055277e-05
1.7408977340170084,0.0,2.601179952058543,0.0,0.0,2.5570329725297984,4.945606408078362e-05
1.7458717275427713,0.0,2.4133627809706586,0.0,0.0,2.6139932973468984,6.0540167121014476e-05
1.7508457210685342,0.0,2.2541568583151657,0.0,0.0,2.670953622163998,7.162427016124532e-05
1.755819714594297,0.0,2.108102006749675,0.0,0.0,2.7279139469810976,8.270837320147617e-05
1.76079370812006,0.0,1.9930604186850445,0.0,0.0,2.7854469311099765,9.379247624170703e-05
1.7657677016458229,0.0,1.889928757896452,0.0,0.0,2.844549792225454,0.00010487657928193788
1.7707416951715858,0.0,1.78679709710786,0.0,0.0,2.9036526533409317,0.00011596068232216873
1.7757156886973486,0.0,1.7054426261040097,0.0,0.0,2.962755514456409,0.00011606
1.7806896822231115,0.0,1.6274322780389987,0.0,0.0,3.021560049322085,0.00011606
1.7856636757488744,0.0,1.549421929973988,0.0,0.0,3.079482910316843,0.00011606
1.7906376692746373,0.0,1.471411581908977,0.0,0.0,3.137405771311601,0.00011606
1.7956116628004002,0.0,1.3800274861926243,0.0,0.0,3.195328632306359,0.00011606
1.800585656326163,0.0,1.2715222354446138,0.0,0.0,3.217010742591146,0.00011606
1.805559649851926,0.0,1.1630169846966034,0.0,0.0,3.2313519111585762,0.00011606
1.8105336433776889,0.0,1.054511733948593,0.0,0.0,3.245693079726007,0.00011606
1.8155076369034517,0.0,0.9990100463042351,0.0,0.0,3.260034248293437,0.00011606
1.8204816304292146,0.0,0.9570444902069212,0.0,0.0,3.2743754168608676,0.00011606
