# composition,0.5KCl-0.5UCl3
# source,Andersson, 2024
# temperature_K,1250
# raw_file,0.5KCl-0.5UCl3_Andersson_2024_1250.0_AP.csv
# savgol,True
# grid_points,2000
r (A),Cl-Cl,K-Cl,K-K,K-U,U-Cl,U-U
0.49677628548374186,0.0,0.0,0.0,0.0,0.0,0.0
0.5006879097788894,0.0,0.0,0.0,0.0,0.0,0.0
0.504599534074037,0.0,0.0,0.0,0.0,0.0,0.0
0.5085111583691846,0.0,0.0,0.0,0.0,0.0,0.0
0.5124227826643322,0.0,0.0,0.0,0.0,0.0,0.0
0.5163344069594797,0.0,0.0,0.0,0.0,0.0,0.0
0.5202460312546273,0.0,0.0,0.0,0.0,0.0,0.0
0.5241576555497749,0.0,0.0,0.0,0.0,0.0,0.0
0.5280692798449225,0.0,0.0,0.0,0.0,0.0,0.0
0.53198090414007,0.0,0.0,0.0,0.0,0.0,0.0
0.5358925284352176,0.0,0.0,0.0,0.0,0.0,0.0
0.5398041527303652,0.0,0.0,0.0,0.0,0.0,0.0
0.5437157770255128,0.0,0.0,0.0,0.0,0.0,0.0
0.5476274013206603,0.0,0.0,0.0,0.0,0.0,0.0
0.5515390256158079,0.0,0.0,0.0,0.0,0.0,0.0
0.5554506499109555,0.0,0.0,0.0,0.0,0.0,0.0
0.5593622742061031,0.0,0.0,0.0,0.0,0.0,0.0
0.5632738985012506,0.0,0.0,0.0,0.0,0.0,0.0
0.5671855227963982,0.0,0.0,0.0,0.0,0.0,0.0
0.5710971470915458,0.0,0.0,0.0,0.0,0.0,0.0
0.5750087713866934,0.0,0.0,0.0,0.0,0.0,0.0
0.578920395681841,0.0,0.0,0.0,0.0,0.0,0.0
0.5828320199769885,0.0,0.0,0.0,0.0,0.0,0.0
0.5867436442721361,0.0,0.0,0.0,0.0,0.0,0.0
0.5906552685672837,0.0,0.0,0.0,0.0,0.0,0.0
0.5945668928624313,0.0,0.0,0.0,0.0,0.0,0.0
0.5984785171575788,0.0,0.0,0.0,0.0,0.0,0.0
0.6023901414527264,0.0,0.0,0.0,0.0,0.0,0.0
0.606301765747874,0.0,0.0,0.0,0.0,0.0,0.0
0.6102133900430216,0.0,0.0,0.0,0.0,0.0,0.0
0.6141250143381691,0.0,0.0,0.0,0.0,0.0,0.0
0.6180366386333167,0.0,0.0,0.0,0.0,0.0,0.0
0.6219482629284643,0.0,0.0,0.0,0.0,0.0,0.0
0.6258598872236119,0.0,0.0,0.0,0.0,0.0,0.0
0.6297715115187593,0.0,0.0,0.0,0.0,0.0,0.0
0.6336831358139069,0.0,0.0,0.0,0.0,0.0,0.0
0.6375947601090545,0.0,0.0,0.0,0.0,0.0,0.0
0.641506384404202,0.0,0.0,0.0,0.0,0.0,0.0
0.6454180086993496,0.0,0.0,0.0,0.0,0.0,0.0
0.6493296329944972,0.0,0.0,0.0,0.0,0.0,0.0
0.6532412572896448,0.0,0.0,0.0,0.0,0.0,0.0
0.6571528815847923,0.0,0.0,0.0,0.0,0.0,0.0
0.6610645058799399,0.0,0.0,0.0,0.0,0.0,0.0
0.6649761301750875,0.0,0.0,0.0,0.0,0.0,0.0
0.6688877544702351,0.0,0.0,0.0,0.0,0.0,0.0
0.6727993787653826,0.0,0.0,0.0,0.0,0.0,0.0
0.6767110030605302,0.0,0.0,0.0,0.0,0.0,0.0
0.6806226273556778,0.0,0.0,0.0,0.0,0.0,0.0
0.6845342516508254,0.0,0.0,0.0,0.0,0.0,0.0
0.688445875945973,0.0,0.0,0.0,0.0,0.0,0.0
0.6923575002411205,0.0,0.0,0.0,0.0,0.0,0.0
0.6962691245362681,0.0,0.0,0.0,0.0,0.0,0.0
0.7001807488314157,0.0,0.0,0.0,0.0,0.0,0.0
0.7040923731265633,0.0,0.0,0.0,0.0,0.0,0.0
0.7080039974217108,0.0,0.0,0.0,0.0,0.0,0.0
0.7119156217168584,0.0,0.0,0.0,0.0,0.0,0.0
0.715827246012006,0.0,0.0,0.0,0.0,0.0,0.0
0.7197388703071536,0.0,0.0,0.0,0.0,0.0,0.0
0.7236504946023011,0.0,0.0,0.0,0.0,0.0,0.0
0.7275621188974487,0.0,0.0,0.0,0.0,0.0,0.0
0.7314737431925963,0.0,0.0,0.0,0.0,0.0,0.0
0.7353853674877439,0.0,0.0,0.0,0.0,0.0,0.0
0.7392969917828914,0.0,0.0,0.0,0.0,0.0,0.0
0.743208616078039,0.0,0.0,0.0,0.0,0.0,0.0
0.7471202403731866,0.0,0.0,0.0,0.0,0.0,0.0
0.7510318646683342,0.0,0.0,0.0,0.0,0.0,0.0
0.7549434889634817,0.0,0.0,0.0,0.0,0.0,0.0
0.7588551132586293,0.0,0.0,0.0,0.0,0.0,0.0
0.7627667375537769,0.0,0.0,0.0,0.0,0.0,0.0
0.7666783618489245,0.0,0.0,0.0,0.0,0.0,0.0
0.770589986144072,0.0,0.0,0.0,0.0,0.0,0.0
0.7745016104392196,0.0,0.0,0.0,0.0,0.0,0.0
0.7784132347343672,0.0,0.0,0.0,0.0,0.0,0.0
0.7823248590295148,0.0,0.0,0.0,0.0,0.0,0.0
0.7862364833246623,0.0,0.0,0.0,0.0,0.0,0.0
0.7901481076198099,0.0,0.0,0.0,0.0,0.0,0.0
