Freq_rad_ps,VDOS_K,VDOS_Mg
8.346468126949027067e+00,4.281394479028635680e-02,1.075887898210983913e-02
8.436215096056006502e+00,3.969177384617501164e-02,1.100503305801800794e-02
8.525962065162985937e+00,4.488928890207449784e-02,1.087390421303585999e-02
8.615709034269965372e+00,4.545979103582416941e-02,1.115356644354094373e-02
8.705456003376944807e+00,4.402931804270234645e-02,1.168981211283778507e-02
8.795202972483922466e+00,4.164225812331918269e-02,1.070076822570106660e-02
8.884949941590900124e+00,4.290337787206113113e-02,1.095550498614910120e-02
8.974696910697879559e+00,4.763466320187551700e-02,1.139366994321463003e-02
9.064443879804858994e+00,4.236769836135963196e-02,1.074245239385937002e-02
9.154190848911836653e+00,4.452259117065315158e-02,9.932811482822250654e-03
9.243937818018816088e+00,4.343608277176129462e-02,1.039210450636262120e-02
9.333684787125795523e+00,4.232645150548515478e-02,1.165493707936715584e-02
9.423431756232773182e+00,4.343241673579678608e-02,1.158013751235900494e-02
9.513178725339752617e+00,3.982582489422163002e-02,1.173187431279258848e-02
9.602925694446730276e+00,5.022218050777300935e-02,1.239877440964954475e-02
9.692672663553709711e+00,5.564202513656128779e-02,1.172675262507786448e-02
9.782419632660689146e+00,5.214972788695999145e-02,1.032208697014980886e-02
9.872166601767668581e+00,5.161090881554049326e-02,1.008462572591447420e-02
9.961913570874646240e+00,5.037048325112092328e-02,9.716433808696842145e-03
1.005166053998162567e+01,5.398812188953340530e-02,9.536324274136052936e-03
1.014140750908860333e+01,5.506461797243671769e-02,8.950060563972798283e-03
1.023115447819558277e+01,5.001956464037365241e-02,9.490127532055666129e-03
1.032090144730256220e+01,5.057706050992809982e-02,1.078129382765307190e-02
1.041064841640954164e+01,4.864101777029463530e-02,1.023595551119614588e-02
1.050039538551651930e+01,4.987870153915554411e-02,1.113629728495016923e-02
1.059014235462349873e+01,3.907455554073040876e-02,1.173218686613419250e-02
1.067988932373047639e+01,4.343803854551526317e-02,1.001809529366332746e-02
1.076963629283745583e+01,5.079402303475401975e-02,1.077905555029494943e-02
1.085938326194443349e+01,5.147722876952906534e-02,1.035887942532360932e-02
1.094913023105141292e+01,5.398990418938309083e-02,1.088114036832587596e-02
1.103887720015839236e+01,5.321446513460183908e-02,1.173584380162379960e-02
1.112862416926537179e+01,5.166987822468065150e-02,1.142821580604733676e-02
1.121837113837234945e+01,5.497107071895884073e-02,1.118430845588286142e-02
1.130811810747932711e+01,5.463757949163476624e-02,9.851322789256799703e-03
1.139786507658630654e+01,4.949922884799046879e-02,9.371551639029085390e-03
1.148761204569328598e+01,4.778010438311952601e-02,1.069109122959276126e-02
1.157735901480026541e+01,4.866834669644531930e-02,1.157765193292492438e-02
1.166710598390724485e+01,4.997055687997182388e-02,1.037971601306507570e-02
1.175685295301422251e+01,5.105827770361426321e-02,9.198281715026557920e-03
1.184659992212120017e+01,4.979672762192296348e-02,1.010888648912095823e-02
1.193634689122817960e+01,4.539180889779879241e-02,1.040552978177956313e-02
1.202609386033515904e+01,4.548222367768486180e-02,1.011125789768228117e-02
1.211584082944213847e+01,4.657732656875589877e-02,1.166692221837017929e-02
1.220558779854911613e+01,4.648099331262599970e-02,1.069657784707781813e-02
1.229533476765609556e+01,4.548999429540353384e-02,1.119400179130761175e-02
1.238508173676307500e+01,5.242622830047410226e-02,1.274717407031886011e-02
1.247482870587005266e+01,5.237320357707644924e-02,1.242837844333628296e-02
1.256457567497703032e+01,4.946136310951638332e-02,1.020617728598207513e-02
1.265432264408400975e+01,5.013666565528589886e-02,1.063156006020206205e-02
1.274406961319098919e+01,3.853051258288334863e-02,1.090077704434032693e-02
1.283381658229796862e+01,3.787394170476235389e-02,1.017694243688185320e-02
1.292356355140494806e+01,3.911511847457276037e-02,1.133263433107520313e-02
1.301331052051192572e+01,4.750740648618211048e-02,1.132208285635489566e-02
1.310305748961890515e+01,4.543397310069519079e-02,1.096575444740416003e-02
1.319280445872588103e+01,5.128193122005684362e-02,1.116717890912351414e-02
1.328255142783286047e+01,4.638354714066927897e-02,1.082809185015297382e-02
1.337229839693983990e+01,4.201417843689279202e-02,1.022979902837337952e-02
1.346204536604681934e+01,4.459533872645620595e-02,1.036696794456532823e-02
1.355179233515379877e+01,4.307212915233257083e-02,1.002508210372800301e-02
1.364153930426077643e+01,4.629471606805215383e-02,1.065567837449059481e-02
1.373128627336775587e+01,4.904779401975400271e-02,1.015620590818590643e-02
