Freq_rad_ps,VDOS_Na,VDOS_K,VDOS_Mg
9.154190848911836653e+00,2.685886646007433487e-02,4.391869321393305353e-02,1.013873393178151006e-02
9.243937818018816088e+00,2.814758845618833480e-02,4.205975888095158516e-02,1.139441110303534427e-02
9.333684787125795523e+00,2.945999129194508057e-02,4.496535161547738496e-02,1.050707930296005538e-02
9.423431756232773182e+00,2.835499135164176038e-02,4.545814316091660590e-02,1.097552241488617894e-02
9.513178725339752617e+00,2.926825263215133976e-02,4.511423056567841205e-02,1.213413958521313875e-02
9.602925694446730276e+00,2.934825718260785504e-02,3.943126661474271460e-02,1.075209530305991541e-02
9.692672663553709711e+00,2.517769389875891897e-02,3.896833313640737928e-02,1.002382994506871398e-02
9.782419632660689146e+00,2.591711298305314146e-02,4.332421717408347500e-02,1.230961235059178753e-02
9.872166601767668581e+00,2.390710959016066964e-02,4.055301401051910476e-02,1.293521167535392757e-02
9.961913570874646240e+00,2.509058940563876905e-02,4.719343866070499494e-02,1.140406530198998306e-02
1.005166053998162567e+01,2.852240315898587480e-02,4.339466407131727099e-02,1.037961081869841207e-02
1.014140750908860333e+01,3.016170809467835431e-02,4.388536106095426020e-02,1.019173444295639122e-02
1.023115447819558277e+01,2.827603962632289220e-02,5.027917279653720123e-02,1.099204642897455737e-02
1.032090144730256220e+01,2.464078387145036270e-02,4.723302343147753324e-02,1.199624353468332211e-02
1.041064841640954164e+01,2.500782867358690778e-02,4.488725571110760426e-02,1.157743272730678459e-02
1.050039538551651930e+01,2.895533913787629032e-02,4.540564252829296099e-02,1.217805207908516200e-02
1.059014235462349873e+01,3.097879387248622662e-02,5.318033868476477327e-02,1.235858577884415069e-02
1.067988932373047639e+01,3.294736710114113537e-02,5.253734874085921880e-02,1.215481050984997848e-02
1.076963629283745583e+01,2.966253104801814741e-02,4.893739441909842475e-02,1.051110171485892912e-02
1.085938326194443349e+01,2.492102338663107833e-02,4.252065757799233098e-02,1.076025690277791422e-02
1.094913023105141292e+01,2.407704931364326381e-02,4.323118142395839664e-02,1.055180645604580913e-02
1.103887720015839236e+01,2.897164649240493300e-02,4.902008926504189401e-02,1.231688038419231392e-02
1.112862416926537179e+01,3.117030717822585548e-02,3.673022597661569633e-02,1.131494866238190455e-02
1.121837113837234945e+01,2.741725937087578779e-02,4.483731343705485428e-02,1.045289248528450017e-02
1.130811810747932711e+01,3.026838678645106875e-02,5.185395624242575968e-02,1.168093950261906745e-02
1.139786507658630654e+01,2.921530579551188250e-02,5.695489712405525651e-02,1.245813893588078487e-02
1.148761204569328598e+01,3.138588003484787947e-02,6.666018753331894031e-02,1.217030793165462151e-02
1.157735901480026541e+01,3.003408204154347019e-02,5.012013825578728182e-02,1.186726060632365028e-02
1.166710598390724485e+01,2.659708401644301709e-02,4.254003562487580770e-02,1.229801147516404805e-02
1.175685295301422251e+01,2.959541747996740149e-02,5.210871105544410270e-02,1.130375074417357996e-02
1.184659992212120017e+01,3.098416127456669542e-02,5.653106338362796218e-02,9.731707987632374351e-03
1.193634689122817960e+01,3.218157724359020644e-02,5.485606544670680595e-02,1.009100167620346350e-02
1.202609386033515904e+01,2.713959011570693525e-02,4.554176093083942001e-02,9.999620968527469025e-03
1.211584082944213847e+01,2.663864208475872491e-02,3.783848149975451575e-02,9.536799314318600979e-03
1.220558779854911613e+01,2.717238364145520974e-02,3.974102814558334168e-02,1.186729268554005852e-02
1.229533476765609556e+01,2.710027105904640188e-02,4.233926906291033548e-02,1.143385234002351758e-02
1.238508173676307500e+01,3.081553345250113637e-02,4.693492816055522265e-02,1.283986933142625304e-02
1.247482870587005266e+01,3.298486848870599980e-02,4.033993968304892125e-02,1.138796207907449495e-02
