r (A),g(r)_weighted_K-Cl,g(r)_weighted_Li-Cl,S_i_K-Cl,S_i_Li-Cl,Average_SCL,SCL_BC
1.118989074837419,0.0,4.5630826249818186e-05,1.0,1.0,2.692709838088354,0
1.122929177213607,0.0,6.662050424218182e-05,1.0,1.0,2.692709838088354,0
1.126869279589795,0.0,8.761018223452727e-05,1.0,1.0,2.692709838088354,0
1.1308093819659832,0.0,0.00010859986022689091,1.0,1.0,2.692709838088354,0
1.1347494843421713,0.0,0.00012958953821925456,1.0,1.0,2.692709838088354,0
1.1386895867183593,0.0,0.00015057921621161819,1.0,1.0,2.692709838088354,0
1.142629689094547,0.0,0.0001715688942039818,1.0,1.0,2.692709838088354,0
1.1465697914707356,0.0,0.00019255857219632728,1.0,1.0,2.692709838088354,0
1.1505098938469236,0.0,0.0002135482501886909,1.0,1.0,2.692709838088354,0
1.1544499962231116,0.0,0.00023453792818105458,1.0,1.0,2.692709838088354,0
1.1583900985993,0.0,0.0002555276061734182,1.0,1.0,2.692709838088354,0
1.162330200975488,0.0,0.00027651728416578183,1.0,1.0,2.692709838088354,0
1.166270303351676,0.0,0.0002975069621581455,1.0,1.0,2.692709838088354,0
1.1702104057278642,0.0,0.0003184966401504909,1.0,1.0,2.692709838088354,0
1.1741505081040522,0.0,0.00033948631814285457,1.0,1.0,2.692709838088354,0
1.1780906104802402,0.0,0.0003604759961352182,1.0,1.0,2.692709838088354,0
1.1820307128564285,0.0,0.0003814656741275818,1.0,1.0,2.692709838088354,0
1.1859708152326165,0.0,0.0004024553521199455,1.0,1.0,2.692709838088354,0
1.1899109176088043,0.0,0.00042344503011230907,1.0,1.0,2.692709838088354,0
1.1938510199849928,0.0,0.00044443470810465456,1.0,1.0,2.692709838088354,0
1.1977911223611808,0.0,0.0004654243860970182,1.0,1.0,2.692709838088354,0
1.2017312247373688,0.0,0.0004864140640893818,1.0,1.0,2.692709838088354,0
1.2056713271135568,0.0,0.0005074037420817455,1.0,1.0,2.692709838088354,0
1.209611429489745,0.0,0.0004970165510873819,1.0,1.0,2.692709838088354,0
1.2135515318659331,0.0,0.0004794835629859273,1.0,1.0,2.692709838088354,0
1.2174916342421211,0.0,0.0004619505748844546,1.0,1.0,2.692709838088354,0
1.2214317366183094,0.0,0.0004444175867829818,1.0,1.0,2.692709838088354,0
1.2253718389944974,0.0,0.00042688459868152725,1.0,1.0,2.692709838088354,0
1.2293119413706854,0.0,0.0004093516105800545,1.0,1.0,2.692709838088354,0
