r (A),g(r)_weighted_Ca-Ca,g(r)_weighted_Ca-Cl,g(r)_weighted_Mg-Cl,g(r)_weighted_Mg-Mg,g(r)_weighted_Na-Cl,g(r)_weighted_Na-Na,S_i_Ca-Cl,S_i_Mg-Cl,S_i_Na-Cl,Average_SCL,SCL_BC
9.617352778969485,0.004437737873896164,0.05602379307874443,0.10831839349220553,0.02179568597081884,0.19302811875878295,0.06012838321991431,2.9865227670814053e-13,7.901997778883096e-13,2.337666413550256e-08,2.5640104274946216,3.52027
9.624796550470236,0.004435432280885328,0.0559688416135577,0.10827704224853875,0.021809544122711935,0.19291454583554007,0.06011394343138224,2.9865227670814053e-13,7.901997778883096e-13,2.337666413550256e-08,2.5640104274946216,3.52027
9.632240321970986,0.004433126687874491,0.05591389014837094,0.10820532734411359,0.021823402274605025,0.19280097291229728,0.06009950364285017,2.9865227670814053e-13,7.901997778883096e-13,2.337666413550256e-08,2.5640104274946216,3.52027
9.639684093471736,0.004430821094863654,0.0558589386831842,0.10813361243968844,0.021837260426498122,0.19268739998905446,0.060085063854318096,2.9865227670814053e-13,7.901997778883096e-13,2.337666413550256e-08,2.5640104274946216,3.52027
9.647127864972486,0.004428515501852818,0.05580398721799747,0.10806189753526328,0.021851118578391216,0.19257382706581166,0.06007062406578604,2.9865227670814053e-13,7.901997778883096e-13,2.337666413550256e-08,2.5640104274946216,3.52027
9.654571636473236,0.004426209908841981,0.055749035752810705,0.10799018263083814,0.021864976730284313,0.19246025414256884,0.06005618427725395,2.9865227670814053e-13,7.901997778883096e-13,2.337666413550256e-08,2.5640104274946216,3.52027
9.662015407973987,0.004425636303817287,0.05569408428762395,0.10791846772641295,0.021878834882177407,0.19234668121932602,0.06004174448872188,2.9865227670814053e-13,7.901997778883096e-13,2.337666413550256e-08,2.5640104274946216,3.52027
9.669459179474735,0.0044254451889270945,0.05563913282243722,0.1078467528219878,0.021892693034070505,0.19223310829608317,0.06002730470018982,2.9865227670814053e-13,7.901997778883096e-13,2.337666413550256e-08,2.5640104274946216,3.52027
9.676902950975489,0.004425254074036903,0.05558418135725048,0.10777503791756265,0.0219065511859636,0.19211953537284038,0.060012864911657755,2.9865227670814053e-13,7.901997778883096e-13,2.337666413550256e-08,2.5640104274946216,3.52027
9.68434672247624,0.004425062959146711,0.055529229892063735,0.10770332301313752,0.02192040933785669,0.19200596244959756,0.05999842512312568,2.9865227670814053e-13,7.901997778883096e-13,2.337666413550256e-08,2.5640104274946216,3.52027
