r (A),g(r)_weighted_Be-Be,g(r)_weighted_Be-F,g(r)_weighted_F-F,g(r)_weighted_Li-F,g(r)_weighted_Li-Li,g(r)_weighted_Th-F,S_i_Be-F,S_i_Li-F,S_i_Th-F,Average_SCL,SCL_BC
0.6714772114682341,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.6744615546303151,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.6774458977923962,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.6804302409544772,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.6834145841165582,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.6863989272786393,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.6893832704407203,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.6923676136028014,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.6953519567648824,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.6983362999269634,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.7013206430890445,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.7043049862511256,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.7072893294132065,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.7102736725752876,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.7132580157373687,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
