r (A),g(r)_weighted_Li-Cl,g(r)_weighted_K-Cl,S_i_Li-Cl,S_i_K-Cl,Average_SCL,lambda_BC
0.20709490813406703,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.21107750252126062,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.2150600969084542,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.2190426912956478,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.2230252856828414,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.227007880070035,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.2309904744572286,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.2349730688444222,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.2389556632316158,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.24293825761880938,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.24692085200600297,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.25090344639319656,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.2548860407803902,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.2588686351675838,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.26285122955477735,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.26683382394197097,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.2708164183291646,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.27479901271635815,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.27878160710355177,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.2827642014907453,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.28674679587793894,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.29072939026513256,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.2947119846523261,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.29869457903951974,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.30267717342671335,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.3066597678139069,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.31064236220110053,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.31462495658829415,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.3186075509754877,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.3225901453626813,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.32657273974987494,0.0,0.0,1.0,1.0,2.8791899179460123,0
