r (A),g(r)_weighted_Cl-Cl,g(r)_weighted_K-Cl,g(r)_weighted_K-K,g(r)_weighted_K-Li,g(r)_weighted_K-Na,g(r)_weighted_Li-Cl,g(r)_weighted_Li-Li,g(r)_weighted_Li-Na,g(r)_weighted_Na-Cl,g(r)_weighted_Na-Na,S_i_K-Cl,S_i_Li-Cl,S_i_Na-Cl,Average_SCL,SCL_BC
4.212553776888444,0.6601430884979459,0.08447025865109806,0.07653142181068197,0.1387950894186423,0.022362058609802626,0.1127972429982232,0.13022331858282568,0.025379335717318777,0.014552224865780115,0.0034341233341235013,0.002902991546248379,0.11512054440946393,2.3396923346200543e-13,2.8104708327839134,0
4.217793271635817,0.655516308322049,0.08398036306277229,0.07703426101078123,0.13842036822858728,0.02239597371168499,0.11356164441713605,0.12990952092348365,0.025276391927014953,0.014575347825952026,0.0034235530810997144,0.002902991546248379,0.11512054440946393,2.3396923346200543e-13,2.8104708327839134,0
4.223032766383192,0.6508895281461512,0.08349046747444641,0.07753710021088056,0.13804564703853217,0.02242988881356735,0.11432604583604905,0.1295957232641416,0.025173448136711116,0.014598470786123937,0.003412982828075926,0.002902991546248379,0.11512054440946393,2.3396923346200543e-13,2.8104708327839134,0
4.228272261130565,0.6462935364856175,0.0830061907682319,0.07801399969022743,0.13765580444957856,0.022461272217950214,0.11502429765831697,0.1292801384269407,0.025069197688287168,0.014626703777058008,0.003395011099330367,0.002902991546248379,0.11512054440946393,2.3396923346200543e-13,2.8104708327839134,0
4.233511755877939,0.6417465265540699,0.08253085319264888,0.07844963143201364,0.13724190508964984,0.022488627921765703,0.11561731148592257,0.128961710352237,0.02496286846558117,0.01466306636238644,0.003365264295572887,0.002902991546248379,0.11512054440946393,2.3396923346200543e-13,2.8104708327839134,0
4.238751250625312,0.637199516622523,0.08205551561706594,0.07888526317379978,0.1368280057297212,0.022515983625581167,0.11621032531352805,0.1286432822775333,0.024856539242875193,0.014699428947714864,0.003335517491815412,0.002902991546248379,0.11512054440946393,2.3396923346200543e-13,2.8104708327839134,0
4.2439907453726855,0.6326525066909763,0.081580178041483,0.07932089491558594,0.13641410636979254,0.022543339329396648,0.11680333914113357,0.1283248542028297,0.024750210020169222,0.014735791533043292,0.003305770688057937,0.002902991546248379,0.11512054440946393,2.3396923346200543e-13,2.8104708327839134,0
4.24923024012006,0.6281054967594287,0.08110484046589997,0.07975652665737216,0.13600020700986384,0.022570695033212133,0.11739635296873917,0.12800642612812602,0.024643880797463227,0.014772154118371721,0.003276023884300457,0.002902991546248379,0.11512054440946393,2.3396923346200543e-13,2.8104708327839134,0
4.254469734867433,0.6235584868278821,0.08062950289031702,0.08019215839915832,0.13558630764993518,0.022598050737027607,0.11798936679634466,0.12768799805342237,0.02453755157475725,0.014808516703700146,0.0032462770805429817,0.002902991546248379,0.11512054440946393,2.3396923346200543e-13,2.8104708327839134,0
4.259709229614807,0.6190114768963343,0.08015416531473399,0.08062779014094454,0.13517240829000648,0.022625406440843085,0.11858238062395025,0.12736956997871868,0.024431222352051255,0.014844879289028577,0.0032165302767855016,0.002902991546248379,0.11512054440946393,2.3396923346200543e-13,2.8104708327839134,0
4.26494872436218,0.6144644669647876,0.07967882773915105,0.0810634218827307,0.13475850893007782,0.02265276214465856,0.11917539445155574,0.12705114190401504,0.024324893129345278,0.014881241874357002,0.003186783473028027,0.002902991546248379,0.11512054440946393,2.3396923346200543e-13,2.8104708327839134,0
4.270188219109555,0.6099174570332401,0.07920349016356802,0.08149905362451691,0.13434460957014913,0.022680117848474048,0.11976840827916134,0.12673271382931134,0.024218563906639286,0.014917604459685433,0.003157036669270546,0.002902991546248379,0.11512054440946393,2.3396923346200543e-13,2.8104708327839134,0
4.275427713856928,0.6053704471016933,0.07872815258798507,0.08193468536630306,0.1339307102102205,0.022707473552289515,0.12036142210676683,0.1264142857546077,0.024112234683933306,0.01495396704501386,0.0031272898655130715,0.002902991546248379,0.11512054440946393,2.3396923346200543e-13,2.8104708327839134,0
4.280667208604302,0.6009065951058483,0.0783375260195302,0.08234069644590053,0.13350162723300577,0.022726031008778385,0.12098114889374252,0.12608362617077473,0.02400659645579647,0.014969409740722852,0.0031029814274034567,0.002902991546248379,0.11512054440946393,2.3396923346200543e-13,2.8104708327839134,0
4.285906703351675,0.5965868455602282,0.07809369318260569,0.08269537856978726,0.1330462329189873,0.02272934218736564,0.12164716594592792,0.125731770889615,0.023902155636056886,0.014948600846885846,0.003088097006478159,0.002902991546248379,0.11512054440946393,2.3396923346200543e-13,2.8104708327839134,0
4.2911461980990495,0.5922670960146075,0.0778498603456811,0.08305006069367407,0.13259083860496873,0.022732653365952895,0.12231318299811343,0.12537991560845527,0.02379771481631729,0.014927791953048834,0.003073212585552859,0.002902991546248379,0.11512054440946393,2.3396923346200543e-13,2.8104708327839134,0
4.296385692846423,0.5879473464689875,0.07760602750875659,0.08340474281756081,0.13213544429095023,0.02273596454454015,0.12297920005029885,0.1250280603272956,0.02369327399657771,0.014906983059211823,0.003058328164627561,0.002902991546248379,0.11512054440946393,2.3396923346200543e-13,2.8104708327839134,0
4.301625187593796,0.5836275969233675,0.07736219467183206,0.08375942494144754,0.13168004997693175,0.022739275723127412,0.12364521710248425,0.12467620504613587,0.023588833176838127,0.014886174165374813,0.0030434437437022632,0.002902991546248379,0.11512054440946393,2.3396923346200543e-13,2.8104708327839134,0
4.30686468234117,0.5793078473777468,0.07711836183490749,0.08411410706533434,0.1312246556629132,0.022742586901714674,0.12431123415466976,0.12432434976497611,0.023484392357098528,0.014865365271537801,0.003028559322776963,0.002902991546248379,0.11512054440946393,2.3396923346200543e-13,2.8104708327839134,0
4.312104177088544,0.5749880978321267,0.07687452899798294,0.0844687891892211,0.1307692613488947,0.02274589808030193,0.12497725120685517,0.12397249448381639,0.023379951537358945,0.014844556377700794,0.003013674901851666,0.002902991546248379,0.11512054440946393,2.3396923346200543e-13,2.8104708327839134,0
4.317343671835918,0.5706683482865059,0.07663069616105837,0.08482347131310788,0.13031386703487613,0.02274920925888919,0.12564326825904068,0.12362063920265666,0.023275510717619345,0.014823747483863782,0.0029987904809263654,0.002902991546248379,0.11512054440946393,2.3396923346200543e-13,2.8104708327839134,0
4.322583166583291,0.566348598740886,0.07638686332413384,0.08517815343699463,0.12985847272085765,0.022752520437476446,0.12630928531122607,0.12326878392149697,0.023171069897879763,0.014802938590026774,0.0029839060600010676,0.002902991546248379,0.11512054440946393,2.3396923346200543e-13,2.8104708327839134,0
4.327822661330665,0.5620288491952652,0.07614303048720927,0.08553283556088143,0.1294030784068391,0.022755831616063708,0.12697530236341156,0.12291692864033721,0.023066629078140166,0.014782129696189764,0.0029690216390757676,0.002902991546248379,0.11512054440946393,2.3396923346200543e-13,2.8104708327839134,0
4.333062156078039,0.5577776672454048,0.07591689198154786,0.08587163654660386,0.1289415901172279,0.022747752280256446,0.12758309441683752,0.12256104990332038,0.022959159178362967,0.014780163371357125,0.0029589205551080757,0.002902991546248379,0.11512054440946393,2.3396923346200543e-13,2.8104708327839134,0
4.338301650825413,0.5536561674875234,0.07572421884153621,0.08618040146666772,0.1284685762650826,0.02271813001505084,0.12808076527695747,0.12219756158674773,0.022845960366340696,0.014813834079206676,0.002957866217125422,0.002902991546248379,0.11512054440946393,2.3396923346200543e-13,2.8104708327839134,0
4.343541145572786,0.5495346677296429,0.07553154570152461,0.08648916638673154,0.12799556241293739,0.022688507749845238,0.12857843613707737,0.12183407327017504,0.02273276155431844,0.014847504787056218,0.0029568118791427687,0.002902991546248379,0.11512054440946393,2.3396923346200543e-13,2.8104708327839134,0
4.348780640320159,0.5454131679717624,0.07533887256151299,0.08679793130679536,0.12752254856079215,0.022658885484639634,0.12907610699719727,0.12147058495360241,0.02261956274229619,0.01488117549490576,0.002955757541160116,0.002902991546248379,0.11512054440946393,2.3396923346200543e-13,2.8104708327839134,0
4.354020135067533,0.5412916682138812,0.07514619942150136,0.08710669622685924,0.12704953470864686,0.02262926321943403,0.12957377785731727,0.1211070966370297,0.02250636393027392,0.014914846202755313,0.0029547032031774626,0.002902991546248379,0.11512054440946393,2.3396923346200543e-13,2.8104708327839134,0
4.359259629814907,0.5371701684560006,0.07495352628148975,0.08741546114692306,0.12657652085650165,0.02259964095422843,0.13007144871743717,0.12074360832045705,0.02239316511825166,0.014948516910604857,0.002953648865194809,0.002902991546248379,0.11512054440946393,2.3396923346200543e-13,2.8104708327839134,0
4.364499124562281,0.5330486686981195,0.07476085314147812,0.08772422606698693,0.12610350700435635,0.022570018689022826,0.13056911957755715,0.12038012000388434,0.02227996630622939,0.014982187618454407,0.0029525945272121557,0.002902991546248379,0.11512054440946393,2.3396923346200543e-13,2.8104708327839134,0
4.369738619309654,0.528927168940239,0.0745681800014665,0.08803299098705075,0.12563049315221111,0.02254039642381723,0.13106679043767705,0.12001663168731168,0.02216676749420714,0.015015858326303953,0.0029515401892295018,0.002902991546248379,0.11512054440946393,2.3396923346200543e-13,2.8104708327839134,0
4.374978114057028,0.5248056691823577,0.07437550686145487,0.08834175590711463,0.12515747930006582,0.02251077415861162,0.13156446129779703,0.11965314337073898,0.022053568682184867,0.015049529034153498,0.002950485851246849,0.002902991546248379,0.11512054440946393,2.3396923346200543e-13,2.8104708327839134,0
4.380217608804402,0.5206841694244772,0.07418283372144327,0.08865052082717845,0.1246844654479206,0.02248115189340602,0.13206213215791693,0.11928965505416635,0.021940369870162613,0.015083199742003046,0.002949431513264196,0.002902991546248379,0.11512054440946393,2.3396923346200543e-13,2.8104708327839134,0
4.385457103551776,0.5166070344491468,0.07401641243373477,0.0889256028624807,0.12419674857337712,0.02245208943087394,0.13262010476462638,0.11892998700777219,0.021833826384112288,0.015121904639576219,0.002953025448025633,0.002902991546248379,0.11512054440946393,2.3396923346200543e-13,2.8104708327839134,0
4.390696598299149,0.5126217004469417,0.07390431228656127,0.08913098723623776,0.12367860775248676,0.02242418532925864,0.13330285560081703,0.11857822398197823,0.021741054303342406,0.015171026437423655,0.0029662377317729183,0.002902991546248379,0.11512054440946393,2.3396923346200543e-13,2.8104708327839134,0
4.395936093046523,0.5086363664447359,0.07379221213938776,0.08933637160999483,0.12316046693159632,0.02239628122764333,0.1339856064370078,0.11822646095618425,0.02164828222257251,0.015220148235271097,0.002979450015520206,0.002902991546248379,0.11512054440946393,2.3396923346200543e-13,2.8104708327839134,0
