r (A),g(r)_weighted_K-F,g(r)_weighted_K-K,g(r)_weighted_F-F,S_i_K-F,Average_SCL,lambda_BC
13.301881115846431,0.33918639887240987,0.3310304533900535,0.3298515809557759,5.470879796684016e-06,4.362346357215834,4.63533
13.309333150085001,0.3390382055606975,0.33102115271469723,0.329833083896994,5.470879796684016e-06,4.362346357215834,4.63533
13.316785184323571,0.33889001224898513,0.331011852039341,0.3298189360763499,5.470879796684016e-06,4.362346357215834,4.63533
13.324237218562141,0.3387418189372727,0.3310025513639848,0.3298196420172503,5.470879796684016e-06,4.362346357215834,4.63533
13.33168925280071,0.3385936256255603,0.33099325068862856,0.3298203479581507,5.470879796684016e-06,4.362346357215834,4.63533
13.33914128703928,0.33844543231384794,0.3309839500132723,0.32982105389905114,5.470879796684016e-06,4.362346357215834,4.63533
13.34659332127785,0.33829723900213554,0.3309746493379161,0.32982175983995154,5.470879796684016e-06,4.362346357215834,4.63533
13.354045355516417,0.33814904569042314,0.33096534866255983,0.32982246578085195,5.470879796684016e-06,4.362346357215834,4.63533
13.361497389754987,0.3380008523787108,0.33095604798720357,0.32982317172175235,5.470879796684016e-06,4.362346357215834,4.63533
13.368949423993557,0.33780618138960705,0.33094674731184737,0.32982387766265275,5.470879796684016e-06,4.362346357215834,4.63533
13.376401458232126,0.33755545662715924,0.3309374466364911,0.32982458360355316,5.470879796684016e-06,4.362346357215834,4.63533
13.383853492470696,0.3373047318647114,0.33092814596113485,0.32982528954445356,5.470879796684016e-06,4.362346357215834,4.63533
13.391305526709266,0.33705400710226346,0.33091884528577864,0.32982599548535396,5.470879796684016e-06,4.362346357215834,4.63533
13.398757560947834,0.3368032823398157,0.3309095446104224,0.32982670142625437,5.470879796684016e-06,4.362346357215834,4.63533
13.406209595186404,0.3365525575773678,0.3309002439350661,0.32982740736715477,5.470879796684016e-06,4.362346357215834,4.63533
13.413661629424974,0.33630183281491993,0.3308909432597099,0.32982811330805517,5.470879796684016e-06,4.362346357215834,4.63533
13.421113663663542,0.33605110805247207,0.33088164258435365,0.32982881924895563,5.470879796684016e-06,4.362346357215834,4.63533
13.428565697902112,0.33580038329002415,0.3308723419089974,0.32982952518985603,5.470879796684016e-06,4.362346357215834,4.63533
13.436017732140682,0.33554965852757634,0.3308630412336412,0.32983023113075643,5.470879796684016e-06,4.362346357215834,4.63533
13.44346976637925,0.3352989337651285,0.3308537405582849,0.32983093707165684,5.470879796684016e-06,4.362346357215834,4.63533
13.45092180061782,0.3350482090026806,0.33084443988292866,0.32983164301255724,5.470879796684016e-06,4.362346357215834,4.63533
13.45837383485639,0.3347974842402327,0.33083513920757246,0.32983234895345764,5.470879796684016e-06,4.362346357215834,4.63533
13.465825869094958,0.3345467594777849,0.33082583853221625,0.3298330548943581,5.470879796684016e-06,4.362346357215834,4.63533
13.473277903333528,0.33429603471533703,0.33081653785686,0.3298337608352585,5.470879796684016e-06,4.362346357215834,4.63533
13.480729937572098,0.3340453099528891,0.33080723718150373,0.3298344667761589,5.470879796684016e-06,4.362346357215834,4.63533
13.488181971810668,0.33390172280295155,0.3307979365061475,0.3298351727170593,5.470879796684016e-06,4.362346357215834,4.63533
13.495634006049237,0.3338160278599521,0.33078863583079127,0.3298358786579597,5.470879796684016e-06,4.362346357215834,4.63533
13.503086040287807,0.33373033291695275,0.330779335155435,0.32984319530975964,5.470879796684016e-06,4.362346357215834,4.63533
13.510538074526377,0.33364463797395333,0.3307700344800788,0.329860788013687,5.470879796684016e-06,4.362346357215834,4.63533
13.517990108764945,0.3335589430309539,0.33076073380472254,0.32987838071761444,5.470879796684016e-06,4.362346357215834,4.63533
13.525442143003515,0.33347324808795453,0.3307514331293663,0.3298959734215418,5.470879796684016e-06,4.362346357215834,4.63533
13.532894177242085,0.33338755314495516,0.3307421324540101,0.3299135661254692,5.470879796684016e-06,4.362346357215834,4.63533
13.540346211480653,0.3333018582019558,0.3307328317786538,0.3299311588293966,5.470879796684016e-06,4.362346357215834,4.63533
13.547798245719223,0.33321616325895637,0.3307243080394348,0.329948751533324,5.470879796684016e-06,4.362346357215834,4.63533
13.555250279957793,0.33313046831595694,0.33071604722836967,0.32996634423725135,5.470879796684016e-06,4.362346357215834,4.63533
13.562702314196361,0.33304477337295757,0.3307077864173046,0.3299839369411788,5.470879796684016e-06,4.362346357215834,4.63533
13.570154348434931,0.3329590784299582,0.33069952560623944,0.3300015296451062,5.470879796684016e-06,4.362346357215834,4.63533
13.577606382673501,0.3328733834869588,0.3306912647951743,0.3300191223490336,5.470879796684016e-06,4.362346357215834,4.63533
13.58505841691207,0.3327876885439594,0.3306830039841092,0.33003671505296095,5.470879796684016e-06,4.362346357215834,4.63533
13.59251045115064,0.33270199360096,0.3306747431730441,0.3300543077568884,5.470879796684016e-06,4.362346357215834,4.63533
13.59996248538921,0.3326162986579606,0.33066648236197893,0.33007190046081575,5.470879796684016e-06,4.362346357215834,4.63533
13.607414519627778,0.3325306037149612,0.33065822155091384,0.3300894931647431,5.470879796684016e-06,4.362346357215834,4.63533
13.614866553866348,0.3324449087719618,0.3306499607398487,0.33010708586867055,5.470879796684016e-06,4.362346357215834,4.63533
13.622318588104918,0.3323592138289624,0.33064169992878356,0.3301246785725979,5.470879796684016e-06,4.362346357215834,4.63533
13.629770622343488,0.332273518885963,0.3306334391177184,0.3301422712765253,5.470879796684016e-06,4.362346357215834,4.63533
13.637222656582056,0.33218782394296364,0.3306251783066533,0.3301598639804527,5.470879796684016e-06,4.362346357215834,4.63533
13.644674690820626,0.3321021289999642,0.3306169174955882,0.33017745668438014,5.470879796684016e-06,4.362346357215834,4.63533
13.652126725059196,0.3320164340569648,0.33060865668452305,0.3301950493883075,5.470879796684016e-06,4.362346357215834,4.63533
13.659578759297764,0.3319307391139654,0.3306003958734579,0.3302126420922349,5.470879796684016e-06,4.362346357215834,4.63533
13.667030793536334,0.33184504417096605,0.3305921350623928,0.3302302347961623,5.470879796684016e-06,4.362346357215834,4.63533
13.674482827774904,0.3317593492279666,0.3305838742513277,0.3302478275000897,5.470879796684016e-06,4.362346357215834,4.63533
13.681934862013472,0.3316736542849672,0.33057561344026254,0.33026542020401706,5.470879796684016e-06,4.362346357215834,4.63533
13.689386896252042,0.33158795934196783,0.33056735262919745,0.33029154625421664,5.470879796684016e-06,4.362346357215834,4.63533
13.696838930490612,0.33150226439896846,0.3305590918181323,0.33032447405838133,5.470879796684016e-06,4.362346357215834,4.63533
13.70429096472918,0.33141656945596903,0.33055083100706717,0.330357401862546,5.470879796684016e-06,4.362346357215834,4.63533
13.71174299896775,0.3313308745129696,0.3305425701960021,0.3303903296667106,5.470879796684016e-06,4.362346357215834,4.63533
13.71919503320632,0.33124517956997024,0.33053430938493694,0.33042325747087525,5.470879796684016e-06,4.362346357215834,4.63533
13.726647067444889,0.33115948462697087,0.3305260485738718,0.33045618527503995,5.470879796684016e-06,4.362346357215834,4.63533
13.734099101683459,0.33107378968397144,0.3305177877628067,0.3304891130792046,5.470879796684016e-06,4.362346357215834,4.63533
13.741551135922029,0.330988094740972,0.3305095269517416,0.33052204088336923,5.470879796684016e-06,4.362346357215834,4.63533
13.749003170160597,0.33090239979797265,0.33050126614067643,0.33055496868753387,5.470879796684016e-06,4.362346357215834,4.63533
13.756455204399167,0.3308167048549733,0.33049300532961134,0.3305878964916985,5.470879796684016e-06,4.362346357215834,4.63533
13.763907238637737,0.33073100991197385,0.3304847445185462,0.33062082429586315,5.470879796684016e-06,4.362346357215834,4.63533
13.771359272876305,0.3306453149689745,0.33047648370748106,0.3306537521000278,5.470879796684016e-06,4.362346357215834,4.63533
13.778811307114875,0.33055962002597505,0.330468222896416,0.3306866799041925,5.470879796684016e-06,4.362346357215834,4.63533
