r (A),g(r)_weighted_F-F,g(r)_weighted_Li-F,g(r)_weighted_Na-F,g(r)_weighted_U-F,S_i_Li-F,S_i_Na-F,S_i_U-F,Average_SCL,SCL_BC
0.5581776396028014,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.5610110286363181,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.563844417669835,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.5666778067033517,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.5695111957368685,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.5723445847703852,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.5751779738039019,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.5780113628374187,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.5808447518709354,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.5836781409044522,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.586511529937969,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.5893449189714858,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.5921783080050025,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.5950116970385193,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.597845086072036,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.6006784751055527,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.6035118641390695,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.6063452531725863,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.6091786422061031,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.6120120312396198,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.6148454202731366,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.6176788093066533,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.6205121983401701,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.6233455873736868,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.6261789764072035,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.6290123654407204,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.6318457544742371,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.6346791435077539,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.6375125325412706,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.6403459215747874,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.6431793106083041,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.646012699641821,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
