Na-Na,,Na-Cl,,Ca-Ca,,Ca-Cl,,Mg-Mg,,Mg-Cl,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
13.12383657,0.978679931,7.379390553,0.882818977,6.897473548,0.778874457,5.152925281,1.088314252,7.812246437,1.064939547,4.416479672,0.748942692
13.27745635,0.973483889,7.485630567,0.896366226,6.982710509,0.829654126,5.257946234,1.184726796,7.910180781,1.043255605,4.519988981,0.847108964
13.4310647,0.980592659,7.59187058,0.896703392,7.088980066,0.879877414,5.362785094,1.286057255,8.016391267,1.011013449,4.620738042,0.957437207
13.58467762,0.982779504,7.698110594,0.897040558,7.195249624,0.959709069,5.473317925,1.382637148,8.120532718,0.95964841,4.733678199,1.058864357
13.73829282,0.982505387,7.804350607,0.906015086,7.305866572,1.041711492,5.566073303,1.4630402,8.228812239,0.954674143,4.845625636,1.156688194
13.89190803,0.982231269,7.910590621,0.917530014,7.410088946,1.100751226,5.679747031,1.546856727,8.335022725,0.961629826,4.947827459,1.295007025
14.04552323,0.981957152,8.016830635,0.933109583,7.516358503,1.178558378,5.785950169,1.560075305,8.441233211,0.940583503,5.04889501,1.405247395
14.19913615,0.984143997,8.123070648,0.952753793,7.622032713,1.237278114,5.891369062,1.536631158,8.547443697,0.931761788,5.154264973,1.429997416
14.35273993,0.996174691,8.229310662,0.972398003,7.73303799,1.2859167,5.998419385,1.473284167,8.653654183,0.938208408,5.266636132,1.467990769
14.50635513,0.995900574,8.335550675,0.991026053,7.829646679,1.349287547,6.103064522,1.394305915,8.759864669,0.938546274,5.376931051,1.451714291
14.65995663,1.010392229,8.441790689,1.014226823,7.939136526,1.342651892,6.206912108,1.302602463,8.866075155,0.941938517,5.473073645,1.382700531
14.81357184,1.010118112,8.548030702,1.031330633,8.042185794,1.367109063,6.317193541,1.216570543,8.972285641,0.93464044,5.583029587,1.368282629
14.92878781,1.0049906,8.654270716,1.042845561,8.155969361,1.381432474,6.411735328,1.116123087,9.078496127,0.936505495,5.686512355,1.281185414
,,8.760510729,1.05690089,8.2640468,1.373534226,6.519237422,1.067194518,9.184706613,0.941933989,5.797983919,1.222799151
,,8.866750743,1.069940058,8.361914549,1.34403696,6.623066809,1.008231014,9.290917099,0.941762793,5.902767189,1.130459377
,,8.972990756,1.082471147,8.472518181,1.293858459,6.732514469,0.974637158,9.397127585,0.942100659,6.017211328,1.058680411
,,9.07923077,1.088397194,8.569393209,1.245520764,6.83873915,0.949099743,9.503338071,0.942947588,6.110582033,1.035603665
,,9.185470784,1.088734361,8.664838264,1.187472183,6.944963831,0.923562327,9.609548557,0.948376082,6.223062149,1.016668226
,,9.291710797,1.089071527,8.739852069,1.138174064,7.051192314,0.891185619,9.715759043,0.954313639,6.33602,0.938757228
