Freq_rad_ps,VDOS_K,VDOS_Mg
3.194992100208445152e+01,1.093268338825587570e-02,6.886203857315476885e-03
3.203966797119142740e+01,1.038595829982559560e-02,5.792494320219858037e-03
3.212941494029841039e+01,9.590778424430465923e-03,6.604209190297255158e-03
3.221916190940538627e+01,8.785029084090267490e-03,6.583497234787557238e-03
3.230890887851236926e+01,8.840265207215850310e-03,6.773065096658296806e-03
3.239865584761934514e+01,9.387261839173023648e-03,6.608755443116935517e-03
3.248840281672632813e+01,9.437652515244943432e-03,6.128169500356517654e-03
3.257814978583330401e+01,8.854982372907615334e-03,6.360594813419537252e-03
3.266789675494027989e+01,9.327132837504260518e-03,6.446328206668827318e-03
3.275764372404726288e+01,9.599963335523925903e-03,7.517357909300544268e-03
3.284739069315423876e+01,8.983487814857218229e-03,7.406216226997183391e-03
3.293713766226122175e+01,8.935242485332516721e-03,6.277367643787120678e-03
3.302688463136819763e+01,9.115217696540132974e-03,5.941925480587624195e-03
3.311663160047518062e+01,8.348922052092463963e-03,6.127026954879479133e-03
3.320637856958214940e+01,7.408652388309692506e-03,6.095769431179844447e-03
3.329612553868913238e+01,6.753914027920861554e-03,6.642073103377559191e-03
3.338587250779610827e+01,7.285373557547979509e-03,5.877946347261157542e-03
3.347561947690309125e+01,7.421691066282471057e-03,5.588708286135996364e-03
3.356536644601006714e+01,7.198347028847176289e-03,5.749237216035829774e-03
3.365511341511705012e+01,7.066846947743688108e-03,5.233364752212281944e-03
3.374486038422402601e+01,7.823593740362655077e-03,5.117483860097327489e-03
3.383460735333100899e+01,8.136672584753010945e-03,5.404559837850039100e-03
3.392435432243798488e+01,6.327931669697306472e-03,5.679597964427558418e-03
3.401410129154496076e+01,6.449963759395119234e-03,4.869632522611316676e-03
3.410384826065194375e+01,6.749463808944516224e-03,4.516939371778442430e-03
3.419359522975891963e+01,6.141937603236909300e-03,4.849683604762218200e-03
3.428334219886590262e+01,6.132981898587141351e-03,5.910953051058289581e-03
3.437308916797287850e+01,6.731447175903467785e-03,6.028084668824017396e-03
3.446283613707986149e+01,6.997674051344487424e-03,6.141841112208100764e-03
