Freq_rad_ps,VDOS_Na,VDOS_K
2.710358467030759755e+01,2.247617593914160578e-02,1.844675051096473020e-02
2.719333163941457698e+01,1.985461304191566898e-02,1.850883545449569928e-02
2.728307860852155287e+01,2.133072210133174496e-02,1.874350374540114522e-02
2.737282557762853230e+01,2.348417159588649800e-02,1.807289934079076704e-02
2.746257254673551174e+01,2.362560277253334534e-02,1.888680700849043603e-02
2.755231951584249117e+01,2.293653205809595419e-02,1.783627776431134793e-02
2.764206648494947061e+01,2.298523529712684366e-02,1.542223698786809177e-02
2.773181345405645004e+01,2.263187664420347051e-02,1.761822106609545538e-02
2.782156042316342948e+01,2.151634888467682596e-02,1.843830331654600779e-02
2.791130739227040891e+01,2.080268413220604656e-02,1.665624124435246406e-02
2.800105436137738835e+01,2.014485386314193716e-02,1.594586603232670680e-02
2.809080133048436068e+01,1.972011163227062325e-02,1.632206438842332200e-02
2.818054829959134011e+01,2.062805671392254486e-02,1.546857957097191871e-02
2.827029526869831955e+01,2.091743291935154597e-02,1.459521200878330024e-02
2.836004223780529898e+01,2.490521597387780964e-02,1.472415559055087995e-02
2.844978920691227842e+01,2.292181454224184040e-02,1.375960359834070904e-02
2.853953617601925785e+01,2.125278791858017935e-02,1.486681424084150722e-02
2.862928314512623373e+01,2.226056436008683886e-02,1.717415323602457244e-02
2.871903011423321317e+01,2.177806677981891648e-02,1.575858286471992775e-02
2.880877708334019260e+01,2.182698779774073020e-02,1.634547861686046558e-02
2.889852405244717204e+01,2.204022883830650606e-02,1.494644568986404527e-02
2.898827102155415147e+01,2.016522771771673411e-02,1.366030693142964748e-02
2.907801799066113091e+01,2.184256193337417995e-02,1.456259468656857271e-02
2.916776495976811034e+01,2.420779913068099934e-02,1.469820378608203797e-02
2.925751192887508978e+01,2.295909255445325800e-02,1.379885123445159963e-02
2.934725889798206921e+01,2.100429730529594988e-02,1.376291079574470944e-02
2.943700586708904865e+01,1.957107467123742409e-02,1.493927505761957070e-02
2.952675283619602453e+01,1.865610437748228823e-02,1.368092203374572310e-02
2.961649980530300397e+01,2.153278840947818809e-02,1.385354481930214064e-02
2.970624677440998340e+01,2.143103078051557947e-02,1.280063789691420276e-02
2.979599374351695928e+01,2.134476951673482462e-02,1.413189780371122174e-02
2.988574071262393872e+01,2.036044291164847489e-02,1.381859630023102477e-02
2.997548768173091460e+01,2.078987429591928893e-02,1.350330647597565610e-02
3.006523465083789404e+01,2.105936140119752872e-02,1.302969503571044588e-02
3.015498161994487347e+01,2.076232361525139417e-02,1.279687691352455851e-02
3.024472858905185291e+01,2.020859918545163392e-02,1.292641867095333484e-02
3.033447555815883234e+01,2.008389878635997994e-02,1.193539480798340782e-02
3.042422252726581178e+01,2.178187696653930902e-02,1.255855926119394880e-02
3.051396949637279121e+01,2.261149880186298991e-02,1.220962101981993946e-02
3.060371646547977065e+01,2.188530740201820313e-02,1.101222423492389905e-02
3.069346343458675008e+01,1.778737928140366326e-02,1.169372551251084483e-02
3.078321040369372952e+01,2.114744088129772576e-02,1.205629074227192177e-02
3.087295737280070540e+01,2.350630269360788269e-02,1.302065524326335294e-02
3.096270434190768484e+01,2.031780770190006261e-02,1.307464610429320828e-02
3.105245131101466427e+01,1.809518250376442039e-02,1.316046394227599926e-02
3.114219828012164371e+01,1.923825068016653608e-02,1.158304550914895405e-02
